"Country.Name","Country.Code","Year.x","Ease.of.Doing.Business","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","Inflation.Rate","Unemployment","Education.Expenditure","GDP.Per.Capita","Population.Density","Democracy.score","Buddhists","Christians","Muslims","year","ht_colonial"
"Croatia","HRV",2020,72.538236,9.97999954223633,57624938982.3606,7.76502275,0.154811374562028,7.51,5750968646.65355,14236.5352454642,45.9598047008062,6.5,0,93.3,1.6,2020,0
"Cuba","CUB",2020,NA,16.6611003875732,1.07352e+11,12.48644733,NA,1.4,17886024488.0676,9499.59020230432,102.845813614853,2.84,0,58.9,0,2020,1
"Cyprus","CYP",2020,72.535918,12.9899997711182,25008266159.2479,8.0934782,-0.638422797978907,7.59,3248573716.84693,20208.095725015,133.787783783784,7.56,0,72.3,25,2020,1
"Cyprus","CYP",2020,72.535918,12.9899997711182,25008266159.2479,8.0934782,-0.638422797978907,7.59,3248573716.84693,20208.095725015,133.787783783784,7.56,0,72.3,25,2020,1
"Czechia","CZE",2020,76.316346,10.7700004577637,245974558654.043,9.24007225,3.16129528497808,2.55,26491461093.0227,22992.8793833348,135.637390721889,7.67,NA,NA,NA,2020,0
"Denmark","DNK",2020,84.828798,11.9399995803833,355222449505.211,10.52817535,0.420711974110026,5.64,42413558980.3495,60915.4243995461,135.866821994408,9.15,0,81.9,5.1,2020,0
"Djibouti","DJI",2020,52.234374,19.5239602923393,3181071153.6622,2.00786304,1.77740783806174,28.048,621071068.912068,2917.9962809563,46.9894827586207,2.71,0,2.3,96.9,2020,1
"Dominican Republic","DOM",2020,58.806852,19.3228797912598,78844655833.2194,4.94000483,3.78103179915516,6.13,15235058068.4855,7167.91493205787,226.00501335525,6.32,0,88,0,NA,NA
"Ecuador","ECU",2020,57.491414,11.5144195556641,99291124000,8.47677135,-0.338872392562274,6.11,11432796598.8947,5645.19928965332,68.606291687795,6.13,0,94,0,2020,1
"El Salvador","SLV",2020,63.987628,13.0928897857666,24930080000,9.85177708,-0.371590212323993,5.02,3264067897.90344,3961.72663347599,299.084173003802,5.9,0,88,0,2020,1
"Equatorial Guinea","GNQ",2020,40.074176,NA,10099157995.5789,3.7683413,4.76669523944227,9.295,NA,6327.59896192341,56.9001426024955,1.92,0,88.7,4,2020,1
"Eritrea","ERI",2020,21.268866,5.60122740268707,1223860747.8297,4.09359646,NA,7.28,68551223.5781681,344.180590457717,29.2350443158802,2.15,0,62.9,36.6,2020,1
