"Country.Name","Country.Code","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","GDP.Per.Capita","Democracy.score","Buddhists","Christians","Muslims","ht_colonial","Legalized"
"Georgia","GEO",11.1701898574829,15842922532.7202,7.6048708,4255.74299321254,5.31,0,87.6,11.6,0,0
"Germany","DEU",9.18000030517578,3889668895299.56,12.82248878,46772.8253507537,8.67,0,66,6.9,0,1
"Ghana","GHA",23.1386650800705,70043095503.2503,3.99029994,2176.57621802942,6.5,0,73.6,17.5,1,0
"Greece","GRC",7.46000003814697,188925995936.803,9.50820732,17658.9473011189,7.39,0,87.6,5.9,0,0
"Guatemala","GTM",21.141170501709,77715183063.2054,6.46871376,4609.89725752869,4.97,0,95.3,0,1,0
"Guinea","GIN",14.290060043335,14177835840.8311,4.0445075,1073.6593389589,3.08,0,10.8,84.6,1,0
"Guinea-Bissau","GNB",8.00979328155518,1431758231.68287,8.40978622,710.258132977055,2.63,0,18.9,46.1,1,0
"Guyana","GUY",14.5717139524572,5471256594.72422,5.50864172,6863.07434593017,6.01,0,67.9,6.1,1,0
"Haiti","HTI",11.6380405426025,14508222518.158,3.22171094,1283.14122784667,4.22,0,87,0,1,0
"Honduras","HND",24.2547702789307,23827859694.7921,9.03509808,2354.12148010106,5.36,0,87.5,0,1,0
"Hungary","HUN",9.18000030517578,157227094449.074,7.25031424,16125.6094085407,6.56,0,79.3,0,0,0
"Iceland","ISL",15.2799997329712,21553080483.8132,9.55796337,58813.7969830875,9.37,0,94,0,0,1
"India","IND",16.5401592254639,2671595389575.7,2.95919013,1913.21972103492,6.61,0,2.4,15.4,1,0
"Indonesia","IDN",19.1527996063232,1059054842711.72,3.41433048,3895.61815205094,6.3,0,10.2,87,1,0
"Indonesia","IDN",19.1527996063232,1059054842711.72,3.41433048,3895.61815205094,6.3,0,10.2,87,1,0
"Iraq","IRQ",13.5,180924091442.953,5.08489752,4251.33725272808,3.62,0,0,100,1,0
"Ireland","IRL",11.3299999237061,425852281928.114,7.10143661,85420.1908556083,9.05,0,89.7,1.5,0,1
"Israel","ISR",15.6000003814697,413267669231.522,8.31950188,44846.7915954815,7.84,0,2,20.1,0,0
"Italy","ITA",7.46999979019165,1897210466667.52,9.63378334,31918.6934933773,7.74,0,80.8,4.9,0,0
"Jamaica","JAM",17.7749625256187,13812421859.4026,6.61175442,4897.26477019957,7.13,0,77.3,0,1,0
"Japan","JPN",7.30999994277954,5048789595589.43,10.9042511,39986.928628709,8.13,33.2,1.8,0,0,0
