"","Country","Colonized","Buddhists","Christians","Muslims","Legalized"
"144","Monaco",0,0,86,0,0
"145","Mongolia",0,54.4,2.3,3.4,0
"146","Montenegro",0,0,76.6,20.3,0
"147","Montserrat",NA,0,93.5,0,0
"148","Morocco",1,0,0,100,0
"149","Mozambique",1,0,57.8,17.2,0
"150","Myanmar (Burma)",1,NA,NA,NA,NA
"151","Namibia",1,0,97.5,0,0
"152","Nauru",1,1.1,79,0,0
"153","Nepal",0,10,0,5,0
"154","Netherlands",0,0,47.3,6.9,1
"155","New Caledonia",NA,0,85.2,2.8,0
"156","New Zealand",1,1.9,52.9,1.6,1
"157","Nicaragua",1,0,85.3,0,0
"158","Niger",1,0,0,98.3,0
"159","Nigeria",1,0,46.9,51.1,0
"160","Niue",NA,0,96.4,0,0
"161","North Korea",0,1.5,2,0,0
"162","North Macedonia",0,NA,NA,NA,NA
"163","Northern Mariana Islands",NA,10.6,81.3,0,0
"164","Norway",0,0,81.7,4.9,1
"165","Oman",0,0,6.4,85.9,0
"166","Pakistan",1,0,1.6,96.5,0
"167","Palau",1,0,86.7,0,0
"168","Palestinian territories",NA,0,2,97.9,0
"169","Panama",1,0,92.7,0,0
"170","Papua New Guinea",1,0,100,0,0
"171","Paraguay",1,0,96.9,0,0
"172","Peru",1,0,95.4,0,0
"173","Philippines",1,0,92.4,5.7,0
"174","Poland",0,0,92.5,0,0
"175","Portugal",0,0,90.5,0,1
"176","Puerto Rico",NA,0,96.5,0,0
"177","Qatar",1,3.8,13.7,65.2,0
"178","Republic of Macedonia",NA,0,55.1,43.6,0
"179","Republic of the Congo",NA,0,87.1,1.2,0
"180","Reunion",NA,0,87.6,4.2,0
"181","Romania",0,0,100,0,0
"182","Russia",0,0,72.9,11.4,0
"183","Rwanda",1,0,93.8,2.2,0
"184","Samoa",1,0,96.9,0,0
"185","San Marino",0,0,91.6,0,0
"186","São Tomé & Príncipe",1,NA,NA,NA,NA
"187","Sao Tome and Principe",NA,0,81.1,0,0
"188","Saudi Arabia",0,0,4.4,92.7,0
"189","Senegal",1,0,3.3,96.6,0
"190","Serbia",0,0,91.6,5,0
"191","Seychelles",1,0,94,1.1,0
"192","Sierra Leone",1,0,20.4,78.5,0
"193","Singapore",1,32.2,17.7,16.1,0
"194","Sint Maarten",NA,0,93.9,0,0
"195","Slovakia",0,0,83.6,0,0
"196","Slovenia",0,0,77.2,3.9,1
"197","Solomon Islands",1,0,97.4,0,0
"198","Somalia",1,0,0,100,0
"199","South Africa",1,0,80.8,1.9,1
"200","South Korea",0,21.9,30.1,0,0
"201","South Sudan",0,0,60.5,6.2,0
"202","Spain",0,0,75.2,3.3,1
"203","Sri Lanka",1,68.6,7.2,10.4,0
"204","St. Helena",NA,0,96.5,0,0
"205","St. Kitts & Nevis",1,NA,NA,NA,NA
"206","St. Kitts and Nevis",NA,0,94.6,0,0
"207","St. Lucia",1,0,91.5,0,0
"208","St. Pierre and Miquelon",NA,0,94.7,0,0
"209","St. Vincent & Grenadines",1,NA,NA,NA,NA
"210","St. Vincent and the Grenadines",NA,0,88.7,1.5,0
"211","Sudan",1,0,5.4,90.7,0
"212","Suriname",1,0,52.3,14.3,0
"213","Swaziland",NA,0,88.7,0,0
"214","Sweden",0,0,63,6.5,1
"215","Switzerland",0,0,70,5.6,1
"216","Syria",1,0,5.2,92.8,0
"217","Taiwan",0,21.2,5.8,0,1
"218","Tajikistan",0,0,1.8,96.4,0
"219","Tanzania",1,0,63.1,34.1,0
"220","Thailand",0,92.6,0,6,0
"221","Timor-Leste",1,0,100,0,0
"222","Togo",1,0,42.3,14,0
"223","Tokelau",NA,0,100,0,0
"224","Tonga",1,0,98.9,0,0
"225","Trinidad & Tobago",1,NA,NA,NA,NA
"226","Trinidad and Tobago",NA,0,66.3,5.8,0
"227","Tunisia",1,0,0,100,0
"228","Turkey",0,0,0,98,0
"229","Turkmenistan",0,0,6.4,93,0
"230","Turks and Caicos Islands",NA,0,92.1,0,0
"231","Tuvalu",1,0,96.7,0,0
"232","U.S. Virgin Islands",NA,0,94.8,0,0
"233","Uganda",1,0,86.1,12.1,0
"234","Ukraine",0,0,85.6,1.7,0
"235","United Arab Emirates",1,2.4,12.9,75,0
"236","United Kingdom",0,0,59.1,6.1,1
"237","United States",1,1.2,75.5,1.1,1
"238","Uruguay",1,0,57,0,1
"239","Uzbekistan",0,0,2,97.1,0
"240","Vanuatu",1,0,93.5,0,0
"241","Vatican City",NA,0,100,0,0
"242","Venezuela",1,0,89.5,0,0
"243","Vietnam",1,16.2,8.4,0,0
"244","Wallis and Futuna",NA,0,97.4,0,0
"245","Western Sahara",NA,0,0,100,0
"246","Yemen",1,0,0,100,0
"247","Zambia",1,0,97.4,0,0
"248","Zimbabwe",1,0,87.1,0,0
